,airport,hops,delay,distance,cluster
0,vld,0.4402,0.618,0.0444,0
1,bro,0.4512,0.5633,0.0912,0
3,gtr,0.4402,0.6209,0.0532,0
5,isp,0.5585,0.5187,0.1875,0
6,law,0.4663,0.6968,0.0263,0
7,cou,0.392,0.7588,0.0962,0
8,bet,0.6506,0.509,0.0952,0
9,rhi,0.5089,0.5818,0.0299,0
10,cny,0.5543,0.0,0.038,0
11,mqt,0.4498,0.508,0.0697,0
13,hrl,0.5007,0.4931,0.0645,0
14,iag,0.6176,0.6324,0.2414,0
15,ags,0.4374,0.654,0.0272,0
19,gck,0.4663,0.6324,0.0965,0
20,ida,0.4209,0.3956,0.0693,0
25,mfe,0.4512,0.5825,0.0905,0
26,psg,0.9821,0.6323,0.0096,0
27,sps,0.4663,0.629,0.0191,0
29,bqn,0.5076,0.5915,0.3485,0
30,tol,0.4498,0.4218,0.0457,0
31,gcc,0.4622,0.3241,0.0805,0
32,otz,0.6492,0.5878,0.111,0
33,jms,0.4759,0.5249,0.0787,0
34,azo,0.3645,0.5002,0.0278,0
36,ppg,0.663,0.8462,0.6803,0
38,lan,0.3645,0.5905,0.0521,0
39,eau,0.4498,0.6277,0.0604,0
43,yum,0.564,0.535,0.0316,0
44,cpr,0.4635,0.3632,0.0609,0
45,flg,0.564,0.5805,0.0207,0
47,geg,0.381,0.5036,0.1499,0
49,pib,0.4635,0.6737,0.0293,0
50,lar,0.4787,0.3489,0.0191,0
51,cho,0.3975,0.677,0.1148,0
52,rks,0.4622,0.3907,0.0569,0
55,twf,0.5543,0.3427,0.0356,0
56,mvy,0.5763,0.7523,0.0239,0
57,mgm,0.3879,0.6205,0.0661,0
58,sce,0.3879,0.6,0.1139,0
62,mlu,0.3796,0.643,0.0817,0
63,sux,0.4498,0.609,0.1051,0
64,mbs,0.3645,0.5593,0.0433,0
65,elm,0.3879,0.6086,0.0956,0
66,stc,0.4498,0.8993,0.0939,0
67,bgm,0.5365,0.5657,0.0896,0
71,mot,0.436,0.4955,0.1323,0
73,ecp,0.4044,0.4743,0.0974,0
74,dik,0.436,0.3714,0.1177,0
75,bqk,0.4402,0.5562,0.0524,0
76,smx,0.5406,0.5889,0.0366,0
78,wrg,1.0,0.6007,0.0041,0
79,gtf,0.4209,0.4194,0.1469,0
83,grk,0.3796,0.6088,0.0533,0
84,dhn,0.4402,0.6713,0.0343,0
85,dbq,0.4498,0.5082,0.0282,0
86,stx,0.436,0.6009,0.2045,0
87,eug,0.4498,0.5214,0.1544,0
88,ilm,0.436,0.5566,0.0894,0
89,gst,0.9849,0.9486,0.0,0
91,koa,0.4182,0.4644,0.249,0
93,bli,0.5323,0.4494,0.3147,0
98,cdv,0.6479,0.4691,0.0387,0
99,hln,0.4209,0.3645,0.1291,0
100,spi,0.392,0.6163,0.0802,0
101,ome,0.6492,0.6235,0.1092,0
103,brd,0.5089,0.4223,0.0195,0
104,ewn,0.4402,0.5938,0.1043,0
106,dro,0.3989,0.6059,0.1071,0
109,eri,0.4347,0.6858,0.0848,0
114,lrd,0.4512,0.5475,0.0838,0
115,wys,0.5543,0.4205,0.0617,0
116,mfr,0.4539,0.5414,0.1288,0
121,imt,0.5089,0.4144,0.0343,0
122,gnv,0.4388,0.6551,0.0685,0
123,lch,0.4512,0.528,0.0409,0
124,eko,0.5543,0.3496,0.0423,0
125,psc,0.4113,0.4236,0.1814,0
128,bfl,0.4195,0.543,0.1667,0
135,btv,0.3714,0.5821,0.1177,0
136,pah,0.4498,0.6085,0.0801,0
140,jln,0.4663,0.7211,0.0761,0
141,mmh,0.4677,0.5476,0.05,0
142,tvc,0.3604,0.5268,0.055,0
143,scc,0.6492,0.4997,0.1005,0
148,adq,0.6506,0.5172,0.0564,0
150,dlg,0.6506,0.2863,0.0766,0
151,mhk,0.392,0.5418,0.111,0
152,ama,0.3893,0.6029,0.095,0
153,txk,0.4663,0.5904,0.0372,0
154,acv,0.5626,0.6304,0.0556,0
161,oth,0.4677,0.7225,0.1177,0
163,fsm,0.3879,0.6393,0.0823,0
164,hys,0.4787,0.5426,0.0684,0
166,saf,0.4003,0.6551,0.1281,0
168,ith,0.5365,0.3683,0.083,0
171,ktn,0.5626,0.5375,0.1129,0
175,avp,0.3851,0.6138,0.1386,0
176,lse,0.4237,0.5211,0.0396,0
177,pbg,0.6176,0.7138,0.3127,0
178,hya,0.5983,0.6549,0.0412,0
179,crp,0.4484,0.6304,0.0544,0
180,ciu,0.5365,0.6855,0.0646,0
181,rdm,0.4498,0.4697,0.1503,0
183,bur,0.4017,0.5258,0.1099,0
185,csg,0.4402,0.5437,0.0112,0
186,esc,0.5365,0.5269,0.0705,0
187,lih,0.4333,0.4552,0.2341,0
188,ust,0.5983,0.7314,0.2011,0
190,cwa,0.4237,0.6049,0.0455,0
193,adk,0.6506,0.7152,0.3061,0
195,lws,0.5543,0.2786,0.1117,0
196,cod,0.3741,0.6342,0.084,0
197,gri,0.4663,0.4817,0.1383,0
199,grb,0.3645,0.5649,0.0582,0
200,oaj,0.4402,0.616,0.0952,0
201,tlh,0.3865,0.5531,0.0841,0
202,cmx,0.4498,0.5476,0.0846,0
203,mry,0.5268,0.6223,0.064,0
204,akn,0.6506,0.5594,0.0657,0
207,roa,0.3975,0.6114,0.0995,0
209,vps,0.3796,0.5991,0.1069,0
211,act,0.4663,0.6188,0.0128,0
213,cdc,0.5543,0.4444,0.0479,0
215,isn,0.3989,0.4692,0.1629,0
217,mlb,0.4402,0.467,0.1066,0
218,bil,0.3618,0.3848,0.1248,0
219,gpt,0.3796,0.5042,0.0949,0
220,inl,0.5076,0.5806,0.0314,0
221,abr,0.5103,0.6523,0.0574,0
222,sit,0.564,0.5127,0.0722,0
224,abe,0.3879,0.6333,0.1479,0
225,vel,0.5543,0.2941,0.0242,0
226,maf,0.3879,0.599,0.1051,0
227,rst,0.3631,0.5775,0.0738,0
228,pub,0.4787,0.5118,0.0181,0
230,alo,0.4498,0.5229,0.0513,0
235,ilg,0.5832,1.0,0.2183,0
236,sgu,0.4635,0.4797,0.0831,0
238,yak,0.9821,0.3816,0.0439,0
239,sba,0.4429,0.5748,0.0961,0
241,rdd,0.5626,0.4501,0.042,0
244,avl,0.3975,0.5843,0.0661,0
245,atw,0.3645,0.5854,0.0657,0
246,brw,0.6479,0.5244,0.1018,0
247,btr,0.3769,0.7218,0.0858,0
249,dvl,0.4759,0.5453,0.0452,0
252,pih,0.5543,0.469,0.029,0
254,ack,0.5626,0.6738,0.0396,0
255,ggg,0.4663,0.6703,0.0263,0
257,gfk,0.5103,0.5265,0.0646,0
263,hib,0.5089,0.3916,0.0269,0
266,eyw,0.436,0.5061,0.1241,0
267,bji,0.5103,0.4321,0.042,0
271,lgb,0.4182,0.5311,0.1972,0
272,swf,0.5158,0.6215,0.2642,0
273,gjt,0.3769,0.4887,0.1183,0
274,sbp,0.5268,0.5638,0.0582,0
275,dlh,0.4237,0.6709,0.073,0
277,hob,0.5103,0.5604,0.1223,0
278,sjt,0.4663,0.6138,0.05,0
281,row,0.4663,0.6516,0.1048,0
284,tri,0.4402,0.5652,0.0495,0
285,orh,0.5763,0.4811,0.2952,0
287,jnu,0.5447,0.5894,0.1206,0
288,lbb,0.3879,0.5986,0.0925,0
289,sun,0.4539,0.4809,0.0781,0
290,bpt,0.4663,0.8228,0.0609,0
291,cmi,0.392,0.5914,0.0493,0
292,cec,0.5626,0.6764,0.0699,0
293,aex,0.3796,0.6683,0.08,0
294,dab,0.4388,0.4289,0.0865,0
299,mei,0.4635,0.6702,0.0628,0
301,mkg,0.4498,0.6128,0.0205,0
302,fay,0.4402,0.5929,0.0771,0
305,abi,0.4663,0.554,0.0311,0
307,cld,0.5612,0.5793,0.012,0
309,ito,0.5543,0.4845,0.0701,0
311,tyr,0.4512,0.6709,0.0211,0
312,pse,0.5502,0.4053,0.3545,0
313,pln,0.5365,0.6438,0.0537,0
315,cll,0.4512,0.5601,0.0254,0
316,bgr,0.5241,0.5012,0.1774,0
318,btm,0.5543,0.2038,0.0843,0
319,aby,0.4402,0.6173,0.0277,0
321,apn,0.5365,0.5204,0.0418,0
